Carrier Name,Service,Service Type,Product,Network,Service Area From,Service Area To,Delivery Type,Notes
ABC Transport Road Express,Road; Rail,Carton; Pallet; Full Load; Specialist,Dry; Dangerous Goods; Bulk Goods,Regional; Interstate,Adelaide; SA; Dawin; NT,Adelaide; SA; Dawin; NT,B2B; B2C,
Allied Overnight Express Pty Ltd,Road,Satchel; Carton; Pallet,Dry; Dangerous Goods; Bulk Goods,Regional; Interstate,Brisbane; QLD; Sydney; NSW; Canberra; Melbourne; VIC; Adelaide; SA; Perth; WA; Darwin; NT; Hobart; TAS,Brisbane; QLD; Sydney; NSW; Canberra; Melbourne; VIC; Adelaide; SA; Perth; WA; Darwin; NT; Hobart; TAS,B2B; B2C,
Aussiefast Transport Solutions General,Road,Specialist; Pallet; Full Load,Dry; Dangerous Goods; Bulk Goods,Regional; Interstate,Brisbane; Sydney; Melbourne; Adelaide,Brisbane; QLD; Sydney; NSW; Melbourne; VIC; Adelaide; SA,B2B,
Barnetts Couriers,Road,Satchel; Carton; Pallet; Full Load; Specialist,Dry; Dangerous Goods; Bulk Goods,Interstate,Brisbane; Sydney; Canberra; Melbourne; ,Brisbane; QLD; Sydney; NSW; Canberra; Melbourne; VIC,B2B; B2C,
Bonds - COURIER - Transport Group,Road,Satchel; Carton; Pallet; Full Load; Specialist,Dry; Dangerous Goods; Bulk Goods,Local,Brisbane; Sydney; Melbourne; Adelaide; Perth,Brisbane; Sydney; Melbourne; Adelaide; Perth,B2B; B2C,
Bonds - TAXI TRUCKS COURIER - Transport Group ,Road,Satchel; Carton; Pallet; Full Load; Specialist,Dry; Dangerous Goods; Bulk Goods,Local,Brisbane; Sydney; Melbourne; Adelaide; Perth,Brisbane; Sydney; Melbourne; Adelaide; Perth,B2B; B2C,
Capital Transport COURIER,Road,Satchel; Carton; Pallet; Full Load; Specialist,Dry; Dangerous Goods; Bulk Goods,Local,Brisbane; Sydney; Melbourne; Adelaide; Perth,Brisbane; Sydney; Melbourne; Adelaide; Perth,B2B; B2C,
Couriers Please Carton,Road,Satchel; Carton,Dry; Dangerous Goods,Local; Regional; Interstate,Brisbane; Sydney; Melbourne; Adelaide; Perth,Brisbane; QLD; Sydney; NSW; Canberra; Melbourne; VIC; Adelaide; SA; Perth; Darwin,B2B; B2C,"Up to30kgs, Less than 1m"
Direct Couriers,Road,Satchel; Carton; Pallet; Full Load; Specialist,Dry; Dangerous Goods; Bulk Goods,Local,Brisbane; Sydney; Melbourne; Adelaide; Perth,Brisbane; Sydney; Melbourne; Adelaide; Perth,B2B; B2C,
Followmont Transport 002,Road,Pallet; Full Load;,Dry; Bulk Goods,Regional; Interstate,Brisbane; QLD; Sydney; NSW,Brisbane; QLD; Sydney; NSW,B2B; B2C,NSW to QLD; QLD to NSW
Followmont Transport 003,Road,Pallet; Full Load;,Dry; Bulk Goods,Regional; Interstate,Brisbane; QLD; Sydney; NSW,Brisbane; QLD; Sydney; NSW,B2B; B2C,NSW to QLD
Followmont Transport H,Road,Pallet; Full Load;,Dry; Bulk Goods,Regional; Interstate,Brisbane; QLD; Sydney; NSW,Brisbane; QLD; Sydney; NSW,B2B; B2C,NSW to QLD
Freight Express,Road,Satchel; Carton; Pallet; Full Load; Specialist,Dry; Dangerous Goods; Bulk Goods,Local;  Regional; Interstate,Brisbane; QLD; Sydney; NSW,Brisbane; QLD; Sydney; NSW,B2B; B2C,
GKR Transport,Road,Pallet; Full Load; Specialist,Dry; Dangerous Goods; Bulk Goods,Interstate,Brisbane; Sydney; Melbourne;,Perth,B2B; B2C,
GKR Transport,Road,Pallet; Full Load; Specialist,Dry; Dangerous Goods; Bulk Goods,Interstate,Perth,Brisbane; Sydney; Melbourne;,B2B; B2C,
GMK Logistics,Road,Satchel; Carton; Pallet; Full Load; Specialist,Dry; Dangerous Goods; Bulk Goods,Regional; Interstate,Brisbane; Sydney; Canberra; Melbourne; Perth;,Brisbane; QLD; Sydney; NSW; Canberra; Melbourne; VIC;Perth; WA;,B2B; B2C,
Go Logistics,Road,Satchel; Carton; Pallet,Dry; Dangerous Goods; Bulk Goods,Local; Regional,Sydney,Sydney,B2B; B2C,
Hi-Trans Express ,Road,Pallet,Dry; Dangerous Goods,Interstate,Brisbane; Sydney; Melbourne; Adelaide; Perth; Darwin,Brisbane; QLD; Sydney; NSW; Melbourne; VIC; Adelaide; SA; Perth; Darwin; NT,B2B,
Jayde Transport,Road,Pallet; Full Load; Specialist,Dry; Dangerous Goods; Bulk Goods,Interstate,Brisbane; Sydney; Melbourne; Adelaide; Perth;,Brisbane; Sydney; Melbourne; Adelaide; Perth;,B2B,
Jolly and Sons,Road,Pallet; Full Load; Specialist,Dry; Dangerous Goods; Bulk Goods,Regional,Perth; WA; Darwin,Perth; WA; Darwin,B2B; B2C,Regional WA
Northline,Rail,Carton; Pallet,Dry; Dangerous Goods,"Regional, Interstate",Brisbane; QLD; Sydney; NSW; Canberra; Melbourne; VIC; Adelaide; SA; Perth; WA; Darwin; NT,Brisbane; QLD; Sydney; NSW; Canberra; Melbourne; VIC; Adelaide; SA; Perth; WA; Darwin; NT,B2B; B2C,
Pobjoy Transport,Road,Satchel; Carton; Pallet; Full Load; Specialist,Dry; Dangerous Goods; Bulk Goods,Interstate,Melbourne; Perth,Melbourne; Perth,"B2B			",
Quicklee Express,Road,Satchel; Carton; Pallet,Dry; Dangerous Goods; Bulk Goods,"Regional, Interstate",Perth,Perth,B2B; B2C,
Searoad Shipping,Road; Sea,Carton; Pallet; Full Load,Dry; Dangerous Goods; Bulk Goods,Interstate,Melbourne; TAS,Melbourne; TAS,B2B; B2C,
Shaws Darwin Transport,Road,Pallet; Full Load; Specialist,Dry; Dangerous Goods; Bulk Goods,Regional; Interstate,Sydney; Brisbane; Darwin; NT,Sydney; Brisbane; Darwin; NT,B2B,
Shoobridge Transport,Road,Pallet; Full Load,Dry; Refridgerated; Frozen,Regional; Interstate,Brisbane; QLD; Sydney; NSW; Melbourne; VIC,Brisbane; QLD; Sydney; NSW; Melbourne; VIC,B2B,
Startrack Express,Road,Satchel; Carton; Pallet; Full Load; Specialist,Dry; Dangerous Goods; Bulk Goods,Interstate; International,Perth; WA; Brisbane; QLD; Melbourne; VIC; Adelade; SA; Sydney; NSW; Darwin; NT; Hobart; TAS,Perth; WA; Brisbane; QLD; Melbourne; VIC; Adelade; SA; Sydney; NSW; Darwin; NT; Hobart; TAS,B2B; B2C,
Startrack Fixed Price Premium,"Air, Road",Satchel,Dry,Regional; Interstate; International,Perth; WA; Brisbane; QLD; Melbourne; VIC; Adelade; SA; Sydney; NSW; Darwin; NT; Hobart; TAS,Perth; WA; Brisbane; QLD; Melbourne; VIC; Adelade; SA; Sydney; NSW; Darwin; NT; Hobart; TAS,B2B; B2C,Less than 5KG
Startrack Premium,"Air, Road",Satchel; Carton,Dry,Regional; Interstate; International,Perth; WA; Brisbane; QLD; Melbourne; VIC; Adelade; SA; Sydney; NSW; Darwin; NT; Hobart; TAS,Perth; WA; Brisbane; QLD; Melbourne; VIC; Adelade; SA; Sydney; NSW; Darwin; NT; Hobart; TAS,B2B; B2C,More than 5KG
Tasfast Airfreight,Air,Carton; Pallet; Full Load,Dry; Dangerous Goods; Bulk Goods,Regional; Interstate,Melbourne; Hobart; TAS,Melbourne; Hobart; TAS,B2B; B2C,
Tasfreight - TASn Freight Services,Road; Sea,Carton; Pallet; Full Load; Specialist,Dry; Dangerous Goods; Bulk Goods,Interstate,Perth; Brisbane; Sydney; Melbourne; Hobart; TAS,Perth; Brisbane; Sydney; Melbourne; Hobart; TAS,B2B,
TFMXpress Pty Ltd,Road,Satchel; Carton; Pallet,Dry; Dangerous Goods; Bulk Goods,Local; Regional; Interstate,Brisbane; QLD; Sydney; NSW; Melbourne; VIC; Adelaide; SA,Brisbane; QLD; Sydney; NSW; Melbourne; VIC; Adelaide; SA,B2B; B2C,
TNT Australia Fedex,Road,Satchel; Carton; Pallet; Full Load; Specialist,Dry; Dangerous Goods; Bulk Goods,Regional; Interstate; International,Brisbane; QLD; Sydney; NSW; Canberra; Melbourne; VIC; Adelaide; SA; Perth; WA; Darwin; NT; TAS,Brisbane; QLD; Sydney; NSW; Canberra; Melbourne; VIC; Adelaide; SA; Perth; WA; Darwin; NT; TAS,B2B; B2C,max 1ton per item
TNT Australia H Bulk Road Express,Road,Pallet; Full Load; Specialist,Dry; Dangerous Goods; Bulk Goods,Regional; Interstate; International,Brisbane; QLD; Sydney; NSW; Canberra; Melbourne; VIC; Adelaide; SA; Perth; WA; Darwin; NT; TAS,Brisbane; QLD; Sydney; NSW; Canberra; Melbourne; VIC; Adelaide; SA; Perth; WA; Darwin; NT; TAS,B2B; B2C,
TNT FedEx H Road Express,Air; Road,Satchel; Carton; Pallet,Dry; Dangerous Goods; Bulk Goods,Regional; Interstate; International,Brisbane; QLD; Sydney; NSW; Canberra; Melbourne; VIC; Adelaide; SA; Perth; WA; Darwin; NT; TAS,Brisbane; QLD; Sydney; NSW; Canberra; Melbourne; VIC; Adelaide; SA; Perth; WA; Darwin; NT; TAS,B2B; B2C,
TOLL Intermodal & Specialised,Road,Pallet; Full Load; Specialist,Dry; Dangerous Goods; Bulk Goods,Interstate,Brisbane; QLD; Sydney; NSW; Canberra; Melbourne; VIC; Adelaide; SA; Perth; WA; Darwin; NT; TAS,Brisbane; QLD; Sydney; NSW; Canberra; Melbourne; VIC; Adelaide; SA; Perth; WA; Darwin; NT; TAS,B2B,
TOLL Ipec,Road,Satchel; Carton; Pallet,Dry; Dangerous Goods,Regional; Interstate,Brisbane; QLD; Sydney; NSW; Canberra; Melbourne; VIC; Adelaide; SA; Perth; WA; Darwin; NT; TAS,Brisbane; QLD; Sydney; NSW; Canberra; Melbourne; VIC; Adelaide; SA; Perth; WA; Darwin; NT; TAS,B2B,
VELLEX,Road,Pallet; Full Load,Dry; Dangerous Goods; Bulk Goods,Regional; Interstate,Brisbane; Sydney; Melbourne; Adelaide,Brisbane; QLD; Sydney; NSW; Canberra; Melbourne; VIC; Adelaide; SA; Perth; WA; Darwin; NT; Hobart; TAS,B2B,
Vision Freight Systems,Road,Carton; Pallet,Dry,Regional,Brisbane; QLD,Brisbane; QLD,,
Xpress Freight Management,Road,Pallet; Full Load,Dry; Gangerous Goods; Bulk Goods,Interstate,Perth; Brisbane; Melbourne; Adelade; Sydney,Perth; WA; Brisbane; QLD; Melbourne; VIC; Adelade; SA; Sydney; NSW,B2B,
